水果田id	起始坐标x	起始坐标y	起始坐标z	结束坐标x	结束坐标y	结束坐标z	怪物id(#分割)	怪物巢穴坐标(1,2,3#1,2,3)	怪物冷却时间显示坐标(1,2,3#1,2,3)	产生的coinId	概率（0-10000）	特权等级	果田等级	果树x坐标	果树y坐标	果树z坐标	果树分值系数	果树额外产出	注释	注释
id	x1	y1	z1	x2	y2	z2	monsterIds	monsterPos	countDownPos	fruitId	chance	type	level	treex	treey	treez	treeRatio	extraReward	ps	ps
101	-630	10	-251	-614	14	-220	@@@	@@@	@@@	1085	300	0	1	-622	11	-236	1	1090	蒲公英	芒果
102	-643	10	-207	-615	14	-192	@@@	@@@	@@@	1085#1090	300#500	0	1	-629	11	-200	1	1090	向日葵	香蕉
103	-652	10	-233	-635	14	-210	4001	-648,11,-221	-646,14,-221	1085#1091	300#500	0	1	-644	11	-222	1.5	1091	蘑菇	西瓜
104	-652	10	-288	-639	14	-256	4003	-652,11,-265	-650,14,-265	1085#1088	300#500	0	1	-646	11	-272	1.5	1088	蓝色花	葡萄
105	-638	16	-286	-614	20	-264	4002#4004	-634,17,-283#-619,17,-268	-634,20,-281#-621,20,-268	1085#1087	300#500	0	1	-626	17	-275	1.5	1087	四叶草	奇异果
206	-672	13	-213	-656	17	-196	4005##4002	-666,14,-197#-672,14,-210	-660,17,-197#-660,17,-210	1085#1091	300#500	0	2	-664	14	-205	2	1091	草莓	草莓
207	-672	13	-244	-655	17	-222	4009	-671,14,-233	-668,17,-233	1085#1090	300#500	0	2	-664	14	-233	2	1090	蜘蛛花	柠檬
208	-672	13	-287	-664	17	-250	4007#4004	-672,14,-261#-672,14,-277	-668,17,-261#-670,17,-277	1085#1086	300#500	0	2	-668	14	-269	2	1086	竹子	蓝莓
309	-702	22	-306	-686	26	-284	4010	-693,23,-285	-693,26,-296	1085#1089	300#500	0	3	-694	23	-295	3	1089	菠萝	桃子
410	-685	22	-221	-673	26	-192	4006	-680,23,-218	-680,26,-219	1085#1088	300#500	0	4	-679	23	-207	4	1088	仙人掌	橙子
411	-700	22	-221	-687	26	-192	4008	-695,23,-217	-695,26,-219	1085#1086	300#500	0	4	-694	23	-207	4	1086	南瓜	木瓜
412	-702	22	-186	-674	26	-174	4010	-684,23,-178	-684,26,-182	1085#1087	300#500	0	4	-688	23	-180	4	1087	树	哈密瓜
413	-648	13	-190	-630	17	-170	4009#4009	-635,14,-176#-645,14,-187	-637,17,-176#-645,17,-185	1085#1089	300#500	0	4	-639	14	-180	4	1089	玫瑰花	西红柿
514	-699	41	-266	-682	45	-247	@@@	@@@	@@@	1085	300	0	5	-691	42	-257	5	@@@	山顶	山顶
1	-593	10	-243	-558	26	-205	@@@	@@@	@@@	1085	300	1	5	-576	11	-224	0	@@@	vip	vip
